*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=mobileBBshield_for_Mozzi_v2_long
*Date=17:12:57
*CreatedBy=Fritzing 0.9.0b.06.11.da4e
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;2.22688;-45.5104;0;Bottom;Via1
2;;;76.7588;-8.3533;0;Bottom;Copper Fill41
3;1nF;0603 [SMD, multilayer];3.15944;-49.0477;0;Top;C3
4;;;99.3445;-25.316;-90;Bottom;IMG2
5;;;85.09;-14.7033;0;Bottom;Copper Fill76
6;;;62.1538;-21.828;0;Bottom;Copper Fill3
7;;;81.026;-9.0264;0;Bottom;Copper Fill52
8;10k;THT;88.3646;-32.1753;0;Bottom;R10k
9;;;52.2224;-26.7302;0;Bottom;Copper Fill54
10;1µF;0603 [SMD, multilayer];20.9698;-33.186;0;Top;C9
11;;;68.199;-13.2428;0;Bottom;Copper Fill9
12;;;76.7588;-42.5417;0;Bottom;Copper Fill84
13;100k;0603 [SMD];18.5941;-6.23466;90;Top;R5
14;;;25.1968;-24.4569;0;Bottom;Copper Fill14
15;;THT;21.6596;-38.7401;180;Bottom;vol
16;;;76.8985;-1.127;0;Bottom;Copper Fill79
17;;[THT];87.7945;-19.0158;0;Bottom;D4
18;;;12.9921;-1.6604;0;Bottom;Copper Fill73
19;;;24.3713;-25.3332;0;Bottom;Copper Fill12
20;;;77.8129;-7.3246;0;Bottom;Copper Fill40
21;;;14.4526;-3.1209;0;Bottom;Copper Fill24
22;;;43.1673;-3.6416;0;Bottom;Copper Fill25
23;;;20.0168;-26.4277;0;Bottom;TXT1
24;1µF;0603 [SMD, multilayer];24.1259;-32.1417;90;Top;C7
25;;;2.80034;-43.4363;0;Bottom;TXT1
26;100µF;1206 [SMD, multilayer];23.7748;-11.1723;-90;Top;C8
27;;;23.7181;-7.09995;0;Bottom;Via2
28;;;26.9493;-26.8545;-90;Bottom;TXT1
29;10k;0603 [SMD];15.563;-45.9646;-90;Top;R10
30;;;18.0848;-5.4069;0;Bottom;Copper Fill68
31;;;21.1328;-5.5085;0;Bottom;Copper Fill64
32;;;24.3713;-25.3332;0;Bottom;Copper Fill57
33;;THT;77.8971;-19.3775;180;Bottom;A4
34;;;76.7588;-8.3533;0;Bottom;Copper Fill89
35;;;44.8818;-4.683;0;Bottom;Copper Fill55
36;;;43.1673;-2.016;0;Bottom;Copper Fill26
37;;;43.1673;-2.016;0;Bottom;Copper Fill69
38;;;78.8162;-25.4221;0;Bottom;Copper Fill39
39;;;23.7782;-4.53403;0;Bottom;TXT1
40;;;26.8224;-50.0728;0;Bottom;Copper Fill49
41;;[THT];87.766;-10.2198;0;Bottom;D5
42;;;11.4046;-12.6205;0;Bottom;Copper Fill62
43;;;68.1303;-40.868;0;Bottom;Via9
44;100k;0603 [SMD];19.6527;-12.6882;180;Top;R6
45;;;23.0632;-9.6741;0;Bottom;Copper Fill60
46;10k;THT;88.3646;-23.4264;0;Bottom;R10k
47;;;66.929;-17.51;0;Bottom;Copper Fill6
48;;;15.9004;-24.4569;0;Bottom;Copper Fill15
49;;THT;77.9146;-10.8095;180;Bottom;A5
50;220nF;1206 [SMD, multilayer];6.59896;-49.9649;-90;Top;C2
51;;;12.573;-49.1965;0;Bottom;Copper Fill82
52;;;71.8312;-34.3248;0;Bottom;Copper Fill5
53;680;0603 [SMD];9.78087;-51.5346;180;Top;R1
54;;;76.7588;-16.9385;0;Bottom;Copper Fill85
55;;;40.6273;-3.6416;0;Bottom;Copper Fill27
56;;;18.5293;-4.9624;0;Bottom;Copper Fill67
57;;;78.3844;-2.5113;0;Bottom;Copper Fill38
